Catogory,Title,Author,ISBN,Availibility,Summary of Content,
Romantic,Love Beyond the Stars,Emma Johnson,978-1-2345-6789-0,0,A tale of love that transcends galaxies,
Science Fiction,Quantum Odyssey,Robert Anderson,978-0-9876-5432-1,1,Exploring the mysteries of the quantum realm,
Mystery,The Enigma Cipher,Alice Parker,978-3-2109-8765-4,1,A gripping mystery with a code that needs cracking,
Fantasy,Realm of Dragons,Christopher Turner,978-4-5678-9012-3,0,Dragons and magic collide in an epic fantasy world,
Thriller,Deadly Secrets,Samantha Reed,978-5-4321-0987-6,1,A thrilling ride through a web of dangerous secrets,
Historical Fiction,The Silk Road Journey,Michael Chang,978-6-7890-1234-5,0,A historical tale of trade, adventure, and cultural exchange,
Romantic,Whispers in the Wind,Sarah Mitchell,978-7-6543-2109-8,1,A love story set against the backdrop of a small coastal town,
Science Fiction,Chronicles of Tomorrow,James Carter,978-8-7654-3210-9,0,Time travel and futuristic landscapes in a mind-bending adventure,
Mystery,The Puzzling Case of Mr. Holmes,John Watson,978-9-8765-4321-0,1,Solving crimes with the legendary detective,
Fantasy,The Elven Chronicles,Laura White,978-0-1234-5678-9,1,An epic journey through a magical realm filled with mythical creatures,
Thriller,Double Crossed,David Thompson,978-1-4321-0987-6,0,Deception and intrigue in the world of espionage,
Historical Fiction,Victorian Secrets,Charlotte Evans,978-2-1098-7654-3,1,Uncovering hidden stories from the Victorian era,
Biography,The Remarkable Life of Jane Austen,Emily Collins,978-3-4567-8901-2,1,An in-depth exploration of the life of the iconic author,
Science Fiction,Infinite Horizons,Michael Roberts,978-4-5678-9012-3,1,Adventures in space and time with a diverse cast of characters,
Thriller,Code Black,Katherine Lee,978-5-6789-0123-4,0,A high-stakes thriller involving government conspiracies and cyber warfare,
Fantasy,The Last Enchantment,Jonathan King,978-6-7890-1234-5,1,A magical quest to save a world on the brink of destruction,
Mystery,Whispers in the Shadows,Linda Davis,978-7-8901-2345-6,1,A gripping mystery set in a small town with dark secrets,
Romantic,Forever Yours,Michael Turner,978-8-9012-3456-7,0,A heartwarming romance that spans decades,
Historical Fiction,The Lost Kingdom,Sophia Rodriguez,978-9-0123-4567-8,1,A tale of power, betrayal, and survival in ancient times,
Science Fiction,Parallel Realities,Steven White,978-0-2345-6789-1,1,Exploring the consequences of parallel universes,
Biography,Leonardo da Vinci: A Renaissance Mind,David Johnson,978-1-3456-7890-2,0,A detailed biography of the legendary polymath,
Fantasy,The Crystal Guardian,Emma Turner,978-2-4567-8901-2,1,A quest to save a mystical crystal and restore balance to the world,
Thriller,The Silent Conspiracy,Christopher Harris,978-3-5678-9012-3,1,A gripping tale of political intrigue and hidden agendas,
Romantic,Eternal Love,Sophie Miller,978-4-6789-0123-4,0,A love story that transcends time, testing the limits of eternal commitment,
Mystery,Shadows of the Past,Andrew Turner,978-5-7890-1234-5,1,A detective unravels a series of mysterious events tied to a forgotten past,
Historical Fiction,A Soldier's Oath,Isabel Martinez,978-6-9012-3456-7,1,Set during a war, this novel explores sacrifice, honor, and resilience,
Science Fiction,Quantum Echoes,Olivia Davis,978-7-1234-5678-9,0,A mind-bending journey through parallel dimensions,
Fantasy,The Dragon's Legacy,Nathan Thompson,978-8-2345-6789-0,1,A young hero's quest to inherit the legacy of the last dragon,
Biography,Steve Jobs: Visionary Innovator,Robert White,978-9-3456-7890-1,1,A comprehensive look at the life and impact of Apple's co-founder,
Romantic,Passion's Embrace,Isabella Turner,978-0-5678-9012-3,0,A tale of forbidden love in a society that challenges societal norms,
Mystery,Whispers in the Attic,Megan Carter,978-1-6789-0123-4,1,An old mansion holds dark secrets waiting to be uncovered,
Thriller,Deadly Alliance,Matthew Harris,978-2-7890-1234-5,0,A high-octane thriller involving international conspiracies and espionage,
Science Fiction,Celestial Harmony,Emma Turner,978-3-9012-3456-7,1,Exploring the cosmic symphony in a futuristic world,
Fantasy,The Lost Kingdom Chronicles,Benjamin Harris,978-4-5678-9012-3,0,Unraveling the mysteries of a kingdom lost to time,
Biography,Marie Curie: Pioneer of Science,Sophia Miller,978-5-6789-0123-4,1,A captivating biography of the renowned scientist,
Romantic,Whirlwind Romance,Daniel Thompson,978-6-7890-1234-5,1,Love unfolds amidst unexpected twists and turns,
Mystery,The Midnight Cipher,Olivia Davis,978-7-8901-2345-6,0,A cryptic cipher holds the key to a midnight mystery,
Thriller,State of Emergency,Michael Turner,978-8-9012-3456-7,1,A gripping thriller set against a backdrop of political turmoil,
Historical Fiction,The Renaissance Tapestry,Christopher Harris,978-9-0123-4567-8,0,Woven tales of intrigue during the Renaissance era,
Science Fiction,Stellar Odyssey,Lily Roberts,978-0-2345-6789-1,1,Embarking on a journey through the stars in search of a new home,
Fantasy,The Crystal Crown,Jackson Turner,978-1-3456-7890-2,0,The quest for a mythical crystal that holds the fate of a kingdom,
Biography,Nelson Mandela: A Legacy of Freedom,Mia Harris,978-2-3456-9012-3,1,An inspiring biography of the anti-apartheid revolutionary,
Romantic,Star-Crossed Lovers,Andrew Miller,978-3-9012-3456-7,1,A love story that defies fate and challenges societal norms,
Mystery,The Secret Cipher,Samantha Turner,978-4-5678-9012-3,0,Decoding a secret cipher becomes a race against time,
Science Fiction,Parallel Realities,Christopher Davis,978-5-6789-0123-4,1,Exploring the consequences of parallel universes,
Fantasy,The Enchanted Forest,Laura Harris,978-6-7890-1234-5,1,Magical creatures and quests unfold in an enchanted forest,
Biography,Albert Einstein: Mind Unveiled,David Turner,978-7-8901-2345-6,0,A glimpse into the brilliant mind of the iconic physicist,
Thriller,Blackout Conspiracy,Isabel Miller,978-8-9012-3456-7,1,A suspenseful tale of a city plunged into darkness and chaos,
Historical Fiction,The Viking Saga,William Harris,978-9-0123-4567-8,0,Epic adventures unfold during the Viking age,
Romantic,Forever and Always,Nathan Thompson,978-0-2345-6789-1,1,A heartwarming tale of enduring love and second chances,
Mystery,The Labyrinth Code,Ella Davis,978-1-3456-7890-2,1,Unlocking the secrets of an ancient labyrinth holds the key to a mystery,
Science Fiction,Interstellar Nexus,Alexander Turner,978-2-3456-9012-3,0,Interstellar travel and the quest for a new home in a distant galaxy,
Romantic,Star-Crossed Lovers,Andrew Miller,978-3-9012-3456-7,1,none,
Mystery,The Secret Cipher,Samantha Turner,978-4-5678-9012-3,0,none,
Science Fiction,Parallel Realities,Christopher Davis,978-5-6789-0123-4,1,none,
Fantasy,The Enchanted Forest,Laura Harris,978-6-7890-1234-5,1,none,
Biography,Albert Einstein: Mind Unveiled,David Turner,978-7-8901-2345-6,0,none,
Thriller,Blackout Conspiracy,Isabel Miller,978-8-9012-3456-7,1,none,
Historical Fiction,The Viking Saga,William Harris,978-9-0123-4567-8,0,none,
Romantic,Forever and Always,Nathan Thompson,978-0-2345-6789-1,1,none,
Mystery,The Labyrinth Code,Ella Davis,978-1-3456-7890-2,1,none,
Science Fiction,Interstellar Nexus,Alexander Turner,978-2-3456-9012-3,0,none,
Romantic,Star-Crossed Lovers,Andrew Miller,978-3-9012-3456-7,2,none,
Mystery,The Secret Cipher,Samantha Turner,978-4-5678-9012-3,1,none,
Science Fiction,Parallel Realities,Christopher Davis,978-5-6789-0123-4,3,none,
Fantasy,The Enchanted Forest,Laura Harris,978-6-7890-1234-5,2,none,
Biography,Albert Einstein: Mind Unveiled,David Turner,978-7-8901-2345-6,1,none,
Thriller,Blackout Conspiracy,Isabel Miller,978-8-9012-3456-7,3,none,
Historical Fiction,The Viking Saga,William Harris,978-9-0123-4567-8,1,none,
Romantic,Forever and Always,Nathan Thompson,978-0-2345-6789-1,2,none,
Mystery,The Labyrinth Code,Ella Davis,978-1-3456-7890-2,3,none,
Science Fiction,Interstellar Nexus,Alexander Turner,978-2-3456-9012-3,1,none,
Fantasy,Realm of Shadows,Emily Harris,978-3-9012-3456-7,2,none,
Biography,Leonardo da Vinci: Artistic Genius,Samantha Turner,978-4-5678-9012-3,3,none,
Romantic,Whispers of the Heart,Nathan Davis,978-5-6789-0123-4,1,none,
Mystery,The Silent Witness,Olivia Turner,978-6-7890-1234-5,2,none,
Thriller,Invisible Enemy,Matthew Miller,978-7-8901-2345-6,1,none,
Historical Fiction,The Roman Chronicles,Isabel Harris,978-8-9012-3456-7,3,none,
Science Fiction,Timeless Odyssey,David Thompson,978-9-0123-4567-8,1,none,
Fantasy,The Crystal Guardian,Lily Davis,978-0-2345-6789-1,2,none,
Biography,Marie Curie: A Life in Science,Benjamin Turner,978-1-3456-7890-2,3,none,
Romantic,Enchanted Moments,Sophia Miller,978-2-3456-9012-3,1,none,
Mystery,The Cryptic Code,Christopher Turner,978-3-9012-3456-7,2,none,
Science Fiction,Quantum Shift,Emma Harris,978-4-5678-9012-3,1,none,
Fantasy,The Lost Chronicles,Michael Davis,978-5-6789-0123-4,3,none,
Biography,Winston Churchill: A Leader's Journey,Sarah Turner,978-6-7890-1234-5,1,none,
Romantic,Hearts Entwined,Nathan Miller,978-7-8901-2345-6,2,none,
Thriller,Deadly Pursuit,Lily Turner,978-8-9012-3456-7,3,none,
Historical Fiction,The Tudor Conspiracy,William Harris,978-9-0123-4567-8,1,none,
Mystery,The Whispers in the Fog,Ella Davis,978-0-2345-6789-1,2,none,
Science Fiction,Infinity's Edge,Alexander Thompson,978-1-3456-7890-2,1,none,
Fantasy,The Mage's Legacy,Samantha Miller,978-2-3456-9012-3,3,none,
Romantic,Love Beyond Time,David Harris,978-3-9012-3456-7,2,none,
Mystery,The Whispering Shadows,Sophia Turner,978-4-5678-9012-3,1,none,
Science Fiction,The Quantum Nexus,Michael Miller,978-5-6789-0123-4,3,none,
Fantasy,The Elven Prophecy,Emma Davis,978-6-7890-1234-5,1,none,
Biography,Ada Lovelace: Pioneer of Computing,Christopher Turner,978-7-8901-2345-6,2,none,
Thriller,Web of Deceit,Lily Harris,978-8-9012-3456-7,3,none,
Historical Fiction,The Renaissance Intrigue,Benjamin Miller,978-9-0123-4567-8,1,none,
Romantic,Moonlit Serenade,Samantha Thompson,978-0-2345-6789-1,2,none,
Mystery,The Enigmatic Heir,Alexander Davis,978-1-3456-7890-2,1,none,
Science Fiction,Starlight Odyssey,Isabel Turner,978-2-3456-9012-3,3,none,
Fantasy,Harry Porter,Minh,023NM,2,Magic Boy,
